detailed_description,brief_summary
"Patients are treated with Targinact(R) according to daily clinical practice during at least 12 weeks and are monitored during study 3 visits. Parameters assessed are pain relief, constipation, use of laxatives, use of analgesic rescue medication, use of concomitant medication, quality of life and safety of Targinact(R) treatment. These parameters, except for safety assessment, are compared between Targinact(R) treatment and previous analgesic treatment with prolonged release oxycodone.","This non-interventional, observational study is set up on request of the Belgian reimbursement authorities and evaluates the efficacy of Targinact with regard to pain relief and constipation in daily clinical practice in Belgium compared to the previous analgesic treatment with prolonged release oxycodone. Only patients eligible for Targinact(R) reimbursement in Belgium are included."
"Patients are treated with Targinact(R) according to daily clinical practice during at least 12 weeks and are monitored during study 3 visits. Parameters assessed are overall health assessment of the patient, pain relief, constipation, use of laxatives, use of analgesic rescue medication, use of concomitant medication, quality of life and safety of Targinact(R) treatment. These parameters, except for safety assessment, are compared between Targinact(R) treatment and previous analgesic treatment.","This non-interventional, observational study evaluates the efficacy of Targinact with regard to quality of life in daily clinical practice in Belgium compared to the previous analgesic treatment."
"This is a multinational, single-arm, therapeutic used clinical trial. After screening in subjects with peripheral arterial disease symptom due to chronic occlusive arterial disease, the eligible subjects will be enrolled, followed by the administration of the study drug (two capsules qd of Pletaal SR 100mg Capsules) for 12 weeks.",This study is to evaluate symptomatic changes and safety before and after the administration of Pletaal(R) SR Capsules based on Peripheral Artery Questionnaire (PAQ) in subjects with peripheral arterial disease symptom due to chronic occlusive arterial disease (COAD).
"It is the objective of this study to investigate whether a supplementation with Vitamin D3 can be used to normalize insufficient vitamin d status and reduce atherosclerotic risk factors such as hypertension, inflammation and hyperlipidemia. The research question is whether Vitamin D3 reduces the level of systemic inflammation and whether Vitamin D3 has an effect on blood lipids.",The aim of this study is to investigate whether a supplementation of 20 mu g Vitamin D3 per day for 12 weeks can be used to normalize vitamin d-Status
"Diffusion tensor imaging (DTI) parameters will correlate with severity of spinal cord injury in SCI patients as seen in rodent models. We will test whether the quantitative decrease in axial () diffusivity (a biomarker of axonal injury), will predict long-term functional outcomes for patients with a SCI. Specific Aim: To examine patients after an acute SCI using DTI and to correlate the extent of acute decrease in with the presenting ASIA motor score and long-term functional outcome of the patient.",Acute changes in axial diffusivity will correlate with the severity of injury in patients that suffer an acute spinal cord injury.
"1. To investigate the diagnostic accuracy of 18F-FLT PET for the suspicious lesions on mammograms and ultrasound, using the pathologic result of biopsy as gold standard, and to determine whether 18F-FLT PET can increase the specificity in breast lesion diagnosis and thus reduce the unnecessary biopsy. 2. To evaluate whether 18F-FLT PET is a cost-effective imaging modality for breast cancer diagnosis.",The purpose: To investigate the diagnostic accuracy of 18F-FLT PET for the suspicious lesions on mammograms and ultrasound.
This is a randomized controlled trial conducted in Ain-Shams University Maternity Hospital on the period from March 2012 till August 2012. It included 130 pregnant women who underwent elective Cesarean section. The aim of this study is to determine the surgical site infection rate and patient satisfaction for subcuticular versus interrupted mattress suture in closure of skin at Cesarean delivery in obese patients.,The aim of this study is to determine the surgical site infection rate and patient satisfaction for subcuticular versus interrupted mattress suture in closure of skin at Cesarean delivery in obese patients.
"Subjects will be randomized to one of two study groups: - Group A: Split body treatment. Ultherapy to one axilla, Sham treatment to the other axilla. - Group B: Bilateral Ultherapy treatments, with a pre-treatment subcutaneous lidocaine injection administered to one axillary side. Hyperhidrosis Disease Severity Scale (HDSS), gravimetric test and starch iodine test will be obtained at all study visits. Patient satisfaction questionnaires will also be obtained at 30, 60 and 90 days post-treatment #2.","Single-center, randomized, split-body, pilot study, treatment of up to 23 subjects in two treatment groups. Subjects will receive two Ultherapy treatments at Day 0 with follow-ups at 7 and 14 days post-treatment #1, and Day 28 with follow-ups are 7, 14, 30, 60, 90 days post-treatment #2."
"Part A of this study will determine the Maximum Tolerated Dose of Debio 0932 in combination with cisplatin/pemetrexed and cisplatin/gemcitabine in treatment-naive patients with Stage IIIb or IV NSCLC, and with docetaxel in previously treated patients with Stage IIIb or IV NSCLC. Escalating doses of Debio 0932 will be given to subsequent patients in combination with standard doses of these 3 background chemotherapies.",Part A of this study will investigate the Maximum Tolerated Dose of Debio 0932 in combination with standard of care chemotherapy for the first- and second-line treatment of advanced NSCLC.
"1. Swab culture (skin, pharyngeal, nasal, anus) when administered into laminar flow room after transplantation. 2. Randomize the febrile patients into 2 groups. 3. Therapy group receive piperacillin/tazobactam, 4.5g q6h iv. Control group receive imipenem/cilastatin, 0.5g q6h. Duration will be 5-10 days.","Neutropenia is very common in patients received hematopoietic stem cell transplantation, with median duration of about 14 days. In 2010 update, IDSA recommended Piperacillin/tazobactam as first-line mono-therapy for febrile patients with neutropenia of high risk. In china, the data of piperacillin/tazobactam for febrile neutropenia after hematopoietic stem cell transplantation is very limited. The current study will evaluate the efficacy of piperacillin/tazobactam compared with imipenem/cilastatin for febrile neutropenia after transplantation."
"Coronary artery bypass graft (CABG) surgery is performed worldwide. Several studies have found that there is a decrease in pulmonary function, loss of thoracic mobility and a high prevalence of chronic poststernotomy pain (CPSP) after CABG. So far there is no effective treatment for these conditions. The OstinCare study aims to investigate whether osteopathic treatment has an added value in the treatment of these patients.","The purpose of this study is to determine the short and long term effects of osteopathic treatment on pulmonary function, pain and quality of life in patients after coronary artery bypass graft (CABG) surgery. The study is a randomized controlled trial."
The objective of this study is to prospectively evaluate the performance of Integra Accell Evo3 Demineralized Bone Matrix as an adjunct for instrumented lumbar spine fusion in comparison to a retrospective cohort of Infuse subjects. Infuse subjects were not enrolled in the current study.,The objective of this study is to prospectively evaluate the performance of Integra Accell Evo3 Demineralized Bone Matrix as an adjunct for instrumented lumbar spine fusion with a retrospective comparison to a historical patient cohort.
The investigators are trying to determine two different stress management techniques in couples undergoing IVF. One arm will be randomized to learning these techniques by themselves by watching and following instructions on a digital video disc (DVD). The other arm will have an in-person class that will teach the couples different stress reduction techniques.,The investigators are trying to determine stress management strategies in couples undergoing In Vitro Fertilization (IVF).
"Day-3 poor quality embryos are related to significant lower clinical pregnancy,so freezing numerous poor quality embryos are clinical impractical. To ensure the successful pregnancy and to enhance the availability of the poor quality embryos, day-3 poor quality embryos are further cultured to different developmental stage and then cryopreserved. The viability of these embryos are tested in frozen-thawed transfer.",The purpose of this study is to explore a method to identify the viability of day-3 poor quality embryos
Studies have already shown that pain following amputation might be caused by differences in a person's genes. This study may help us find out how genes affect the way you feel pain and why you may feel more or less or different kinds of pain than another person with a similar amputation. What we learn in this research study may lead to discoveries as to why some painkillers work better for some people than others.,"The purpose of the study is to learn about the causes of different types of pain that can occur in people who have had an amputation. By gathering information through blood tests, photographs, a nerve test, and questionnaires, we hope to de-code how each individual's special characteristics affect the type and amount of pain they experience in their amputated limb."
"The beneficial effect of heat-treated lactobacilli for treatment of symptomatic diarrhea was clearly documented and the purpose of this planned study is to investigate the effect on reduction of days with diarrhea in a preventive setting in healthy children 1-4 years old. Moreover, the study is intended to evaluate the impact on the immune status of the children.","The purpose of the planned study is to investigate the effect of heat-treated lactobacilli on diarrhea outcome in healthy children 1-4 years old in a randomized, double-blind, placebo-controlled study."
"This study is a randomized controlled trial in patients with insomnia. Eligible subjects will be randomly assigned to self-help treatment with telephone consultation (SHTC), self-help treatment without telephone consultation (SH), or waiting-list control. The subjects will receive self-help treatment once per week for 6 consecutive weeks. In addition to self-help treatment, the subjects in SHTC group will receive telephone consultation once per week for 6 consecutive weeks.","The aim of this study is to develop an Internet-based self-help therapy program for insomnia in Chinese language, and to conduct a randomized waiting-list controlled trial on the efficacy of Internet-based self-help therapy for insomnia."
"The microcirculation is directly involved in the cellular matabolism and homeostasis. Our hypothesis is that radial arterial pulse spectrum may reflect the airway condition in asthmatics. The aims of this study are to investigate the pulse spectrim of the radial artery in adult asthmatics, and evaluate its correlation with lung function, asthma control status,exhaled nitric oxide, and metabolites in the exhaed breath condensates.","Our hypothesis is that radial arterial pulse may reflect the severity and airway function in asthmatics. The aims of this study are to investigate the pulse spectrim of the radial artery in adult asthmatics, and evaluate its correlation with airy inflammation an lung funtion in asthmatics."
"Subjects will participate in an fMRI session to examine changes in frontal and limbic brain regions with tobacco cues, stress and neutral/relaxing imagery. During each fMRI session subjects will participate in six imagery trials: 2 different neutral/relaxing, 2 different stress and 2 different tobacco cue scripts.","To examine the influence of current daily tobacco smoking on brain activation during stress, tobacco cue, and neutral relaxing conditions"
Hundreds of Patients without infection (age 18 to 60 years old) developed Chronic ITP. All patients will be enrolled in this study and will be randomly assigned to receive 100 mg rituximab weekly for 4 weeks (group A) or a single dose of 375 mg/m2 rituximab (group B). After treatment all patients will be followed for two years. During observation platelet count and B lymphocyte will be detected every month.,A comparative study with rituximab (100 mg weekly for 4 weeks and 375mg/m2 for once) shows low dose rituximab may be a useful alternative therapy in patients with ITP.The aim of this study is to compare the efficacy and tolerability of two different regimens of low doses rituximab for the treatment of adult patients with ITP.
"Women were enrolled in the pilot randomized controlled trial at two hospitals, one in Canada and one in the USA. Nurses at both hospitals were trained in how to assist women into the hands-and-knees position in bed. Repeated hands-and-knees position was defined as attempts to use the position for 15 minutes, hourly from randomization until delivery. Women were not asked to assume hands-and-knees for delivery.","The investigators designed a pilot randomized controlled trial to assess the feasibility and acceptability of repeated hands-and-knees positioning during labour. The objectives were 1) to provide an estimate of enrollment rates, 2) to assess compliance with the study protocol by participants and care providers, 3) to obtain women's views about their experiences using the hands-and-knees position, and 4) to provide estimates of treatment effects to inform the sample size calculation for a large trial."
"Umbilical cord blood (UCB) is more commonly used for transplantation in children but is being used in adults more often. However, because adults are larger than children, the relatively smaller stem cell dose in UCB is major limitation for transplantation in adults and engraftment can be delayed. This study is trying to find out if the drug sitagliptin can be used to increase and speed up engraftment in adults receiving UCB transplantation.",The main purpose of this trial is to assess the efficacy and safety of sitagliptin in enhancing engraftment following umbilical cord blood transplantation (recovery of blood counts after transplant).
"The increase of Corrected QT (QTc) interval is associated with age. It is known that most inhalation anesthetics or intravenous anesthetics can influence the QTc. In addition, tracheal intubation during induction can stimulates sympathetic activity, which, as a results, prolong the QTc interval. Therefore, the aim of study is to find out the effect site concentration of remifentanil for preventing QTc interval prolongation during intubation under propofol-remifentanil anesthesia in elderly patients.",To find out the effect site concentration of remifentanil for preventing QTc interval prolongation during intubation under propofol-remifentanil anesthesia in elderly patients
"This single center, single arm open label study is designed to assess the safety and efficacy of using high dose of Icotinib (Conmana) as a way to treat patients with non-small cell lung cancer that progressed after routine gefitinib therapy by progression-free survival, as well as overall survival and disease control rate. The adverse events and adverse reaction are evaluated as well.",To evaluate the efficacy and safety of increased dose of icotinib in advanced NSCLC patients who progressed after gefitinib therapy.
"In order to find whether dexmedetomidine is optimal for sedation during Deep brain stimulation surgery, we will measure the electrical activity in the STN during Deep brain stimulation surgery, and measure how this activity is changed during administration of Dexmedetomidine. We hypothesize that dexmedetomidine does not change the firing rate and pattern in the STN.",The purpose of this research study is to find out whether dexmedetomidine changes brain cell activity in the subthalamic nucleus (STN).
"The electroacupuncture is a known therapeutic modality with particular application to pain. In this study the investigators investigate the effect of electroacupuncture in condition of surgery, which is a particularly painful situation. The investigators will verify the postoperative analgesia, as patients will receive either electroacupuncture or placebo electroacupuncture.",The purpose of this study is to determine whether electroacupuncture is a effective tool to the postoperative analgesia
"Monitored anesthesia care (MAC) has been increasing in fast track anesthesia for ambulatory or outpatient surgery. MAC provides lower anesthetic agents than general anesthesia, however it has been shown to result high anesthetic complication rate because of negligent monitoring. Therefore, aim of this study is to investigate the effect of pre-warmed intravenous fluids on the core body temperature and the early outcomes.",The aim of the study is to compare effect of pre-warmed intravenous fluids on the early outcomes in ambulatory patients undergoing monitored anesthesia care.
"During pregnancy, the effectiveness of cardiovascular system is necessary to the growth and development of the baby, however many changes in it occur during this period. Physical exercise has shown to have a positive effect on cardiovascular structure and function in the general population.",The main aim of this study was to analysed the security of a supervised exercise program on maternal cardiovascular system and assess the positive effects of this program on maternal cardiovascular function and structure
"It has been considered that PD patients tended to be less anemic and require lower ESA dose than HD patients. In addition, it was also known that the level of oxidative stress and inflammatory cytokines tended to be lower in PD patients than HD patients. And hepcidin synthesis is markedly increased during inflammation. Altogether, Lower ESA requirement in PD patients may be associated with lower hepcidin level due to lower inflammatory state compared with HD patients.",- Dialysis modality may influence the oxidative stress and proinflammatory cytokines in ESRD patients. - Dialysis modality may affect hepcidin - Dialysis modality may influence iron and ESA requirements.
"In this ascending multiple dose, double blind, placebo controlled study, a total of 40 subjects will be randomized into 5 cohorts. Approximately 24 HS will be randomized into 3 cohorts (A1, A2, and A3), and 16 migraine patients will be randomized into 2 cohorts (B1 and B2). Each subject will receive a total of 3 SC doses of AMG 334 or placebo.","The primary purpose of this study is to determine whether AMG 334 is safe and well tolerated in healthy subjects and migraine patients. As part of the secondary objectives, this study will be conducted to characterize the pharmacokinetic (PK) profile of AMG 334 after multiple SC doses in healthy subjects and migraine patients, as well as to characterize the effect of AMG 334 on the capsaicin induced increase in dermal blood flow after multiple SC doses in healthy subjects and migraine patients."
The aim of this study is the improvement of the vaginal flora by at least two grades of the Nugent scale. Improvement of Nugent scores should be considered the primary end point of the study. The outcome of the study would be considered positive if significantly more women in the verum cohort achieve such improvement than in the placebo cohort.,The aim of this study is the improvement of the vaginal flora by at least two grades of the Nugent scale after application of oral probiotics.
"Women who will attend 2nd or 3rd ultrasound prenatal scans will be included. Women where the fetus would be diagnosed with lateral ventricles that are normal width (3 m""m will be followed up after delivery by head ultrasound and neurologic exam",The investigators will follow up on babies that had prenatal diagnosis at 2nd or 3rd trimester of normal width and asymetry of lateral brain ventricles
"The investigators will carry out a prospective study in patients with PDR and prior complete laser treatment who presented with new dense VH. All eyes will be treated with intravitreal injection of bevacizumab (1.25 mg). Complete ophthalmic examination and/or ocular ultrasonography will be performed at baseline and 1, 6, 12 weeks and 6, 9, 12 months after first injection. Re-injection will be done in non-clearing and recurrent VH.",To evaluate the efficacy of intravitreal bevacizumab injections for treatment of proliferative diabetic retinopathy (PDR) with new dense vitreous hemorrhage (VH) after previous full panretinal photocoagulation (PRP).
"The impact of antiepileptic drugs on the EEG can vary from marked to none. A small number of AEDs also affect the EKG. Lacosamide is a new AED that selectively enhances slow inactivation of voltage-gated sodium channels, resulting in stabilization of hyperexcitable neuronal membranes and inhibition of repetitive neuronal firing. Information is lacking about the effect of lacosamide on brain and heart rhythms.","The purpose of this study is to evaluate the effect of different intravenous doses (IV) of a new anti-epileptic drug (AED) called lacosamide on continuous EEG (electroencephalogram) rhythms (or brain rhythms) in subjects with focal seizures and the tolerability of those doses by patients. In addition, this study will assess the effect of IV lacosamide on EKG (electrocardiogram), a test which checks for problems with the electrical activity of the heart."
The study will investigate two types of LMA devices endowed of different constructive features. The two devices share common features as far as providing access to the stomach and reducing morbidity of the upper airway. The two device differ in regard to ease of insertion and sealing of the airway and these features are particularly important in the obese patient.,Obese people pose specific problems as far as the management of airway during surgery. The study aims to compare efficacy and safety of two LMA devices.
The objective of this investigation is to determine whether participants will have a change in mood based on the portion size of foods served. The specific aims of the study are: 1. Determine the effect of increasing portion sizes on mood. 2. Determine the effect of decreasing portion sizes on mood.,The purpose of this study is to investigate whether different portion sizes will effect overall mood.
"This is a randomized, crossover, open label, phase I study to assess the effect of food on the bioavailability of AXL1717 in advanced cancer patients. A single, oral dose of AXL1717 is to be administered to patients on each of two occasions that are 7-day apart, in random order: after an overnight fast (fasted treatment) and with a high-fat or moderate-fat breakfast (fed treatment).","This is a prospective, randomized, open-label, Phase I, crossover study to assess the effect of food on the bioavailability of AXL1717 including patients with advanced malignant tumors"
"Design: single center, double-blind, randomized, placebo-controlled, crossover study. Study Drug: Subcutaneous (SC), ND0612 (LD/CD solution) or placebo (saline) to be administered via a continuously via the CRONO Five SC pump. A 1-week washout period will apply between the treatments. Population: Eight (8) PD subjects.","In this Phase I/IIa study, the effect of continuous subcutaneous administration of LD/CD solution (ND0612) on the safety and PK profile of LD will be examined."
"The investigation is a multi-year observational study following the completion of the open-label, single dose Phase I/II study involving transplantation of allogeneic HuCNS-SC cells into 12 subjects with thoracic spinal cord injury. Subjects will be monitored at routine intervals for safety and preliminary efficacy for four years. The LTFU study will commence following the one year post-transplantation termination visit of the Phase I/II investigation.",The purpose of this study is to determine the long term safety and preliminary efficacy of intramedullary transplantation of HuCNS-SC cells in subjects with thoracic spinal cord trauma.
"We want to test the hypothesis that the application of a continuous positive airway pressure (CPAP) after extubation in patients undergoing cardiac surgery can reduce hypoxemia and re-intubation rate. Primary end point: to reduce the rate of re-intubation. Secondary end point: to reduce the incidence of atelectasis, pneumonia, sepsis, the mortality rate, the intensive care unit (ICU) and hospital length of stay.",The aim of study is to evaluate whether the application of a continuous positive airway pressure (CPAP) after extubation in patients undergoing cardiac surgery can reduce hypoxemia and re-intubation rate.
"Intravitreal Bevacizumab has been used by retinal specialist in treatment many retinal diseases. Although it not approved by FDA for treatment. In many In vitro studies, its showed saftey in the eyes especially for corneal endothelium cells, that important cells to keep cornea clear. This study use Confoscan-Corneal confocal microsope to evaluate corneal endothelium before and after intravitreal Bevacizumab injection in routine retinal disease at 6 month follow up.",To evaluate corneal endothelium cell change after intravitreal Bevacizumab injection
"Subjects will receive sipuleucel-T, and potentially other medications, as part of the clinical trial in which they are concurrently enrolled. For this study, cellular and humoral immune responses will be assessed. No additional study treatments will be conducted beyond what is required for the subject's concurrent clinical trial.",The purpose of this study is to evaluate the immune response induced by sipuleucel-T (Provenge(R)).
"At the Mammazentrum Hamburg, Germany, patients with breast cancer receiving chemotherapy have the opportunity to get acupuncture in addition to conventional therapy to maintain quality of life and to reduce the side effects of the chemotherapy such as gastrointestinal disorders. In this randomized trial we aim to investigate the effectiveness of additional acupuncture compared to routine care in patients with breast cancer.",The aim of this trial is to investigate the effectiveness of acupuncture on quality of life in patients with breast cancer receiving chemotherapy compared to routine care.
One option for managing a dehiscent superior semicircular canal is surgical intervention. One of the surgical techniques is the transmastoid and tegmen mini-craniotomy cartilage cap occlusion of the dehiscent superior semicircular canal.,"The primary objective of this study is to measure objective, functional outcomes of patients undergoing cartilage cap occlusion surgery for a dehiscent superior semicircular canal."
"The aims of this research project are the following: 1. Determine to what extent a nutritional prehabilitation regimen, which includes whey protein, initiated before surgery and continued after surgery, optimizes the recovery of functional walking capacity following colorectal resection for cancer. 2. To understand further which measures of immediate surgical recovery are sensitive to prehabilitation interventions, and predict change in later outcome measures.","To determine the impact of nutritional supplementation with whey protein on postoperative functional capacity in patients undergoing colorectal surgery for cancer.It is hypothesized that, compared with a control group receiving nutrition counselling only, patients receiving nutritional counselling along with preoperative and postoperative nutritional supplements will have a significantly improved change in functional walking capacity from baseline to 8 weeks after surgery."
"In this study, the investigators aim to investigate the effect of various lipid types on GLP-2 and GLP-1 secretion. This will allow to determine the importance of lipids in nutritional solutions. Moreover, this will allow us to assess whether existing clinical formulas can be improved in order to stimulate GLP-2 and accelerate intestinal recovery.",This pilot study is aimed at assessing the acute effect of several combinations of lipids differing in their fatty acid composition on glucagon-like-peptide (GLP)-2 and GLP-1 secretion in healthy subjects.
This is a trial designed to assess the safety and efficacy of brexpiprazole (flexible dose) as adjunctive therapy to an assigned known anti-depressant in depressed subjects. The trial consists of a continuous 18-week double-blind treatment period with a 30-day follow-up. Subjects who complete all trial visits through the Week 18 visit may be offered entry into an optional open-label rollover trial.,To compare the efficacy of brexpiprazole (flexible dose) with placebo as adjunctive therapy to an assigned open label antidepressant therapy (ADT) in the proposed subject population with MDD.
"The aim of the intervention is to analyse the effect of a probiotic supplement in a dose-responsive set up on functional intestinal symptoms among subjects diagnosed with IBS according to Rome III criteria. Subjective assessment of bowel symptoms, quality of life, anxiety and depression and adequate relief will be assessed as with questionnaires as outcome measures. The intestinal microbiota will be analysed from faecal samples.",The purpose of this study is to analyse the effect of a probiotic supplement on functional intestinal symptoms among subjects diagnosed with irritable bowel syndrome (IBS).
Phase 3 randomized study to compare the progression free survival of subjects with relapsed/refractory CTCL who receive KW-0761 versus those who receive vorinostat. Subjects who progress on vorinostat will be allowed to cross over to KW-0761 upon progression.,The purpose of this study is to compare the progression free survival of KW-0761 versus vorinostat for subjects with relapsed or refractory CTCL.
This is a prospective clinical study to be conducted at a single clinical site located in the United States. This study will assess the agreement of an investigational device to the predicate device and an ultrasound reference device and the precision of the investigational device with a comparison to the precision of the predicate. Any adverse events associated with the investigational device can or the predicate device will be assessed.,The primary purpose of this comparative clinical study is to collect clinical data to demonstrate the equivalence of the investigational device to the predicate device for measurements of the eye. The secondary purpose is to evaluate any adverse events that occur during the clinical study.
"Helicobacter pylori infection has been associated with Immune Thrombocytopenic Purpura (ITP), and there is scientific evidence for the investigation and treatment of this bacterium for adult patients with ITP. However, in children this causal association is not clear, with few published studies.",The purpose of this study is to determine whether eradication of Helicobacter pylori infection is effective in the improvement of platelet counts in children and adolescents with chronic ITP.
"Initially, 124 subjects were planned to be enrolled according to a 1:1 randomisation ratio. However, by mistake, the randomisation application was set up consistent with the vaccine supply ratio (2:1) rather than the treatment group randomization ratio (1:1). Subsequently, the protocol was amended to adjust the sample size and randomisation ratio for the study. The study will enrol 126 subjects randomised 2:1. 84 subjects will receive Prepandrix cent and 42 subjects will receive Fluarix cent .",This study will evaluate the immunogenicity and the safety of PrepandrixTM in Korean subjects. A second group of subjects will receive FluarixTM vaccine as control.
Blood samples will be drawn on traumatic brain injury patients who are participating in the ProTECT III study just prior to the initiation of the study drug infusion and 24 and 48 hours from the time they are enrolled in the study to test for biomarkers that may help predict how severe the injury is and how well they improve. The investigators will also test to see if the study medication is being absorbed and is staying at a consistent level in the blood stream.,Blood samples will be drawn on traumatic brain injury patients who are participating in the ProTECT III study.
Patients with ESRD will be treated with a dose escalation of ribavirin starting from 200 mg everyday (QD) to a maximal tolerated dose. Peginterferon will then be added. Ribavirin will be dose adjusted as needed. Boceprevir will then be added. Ribavirin will be dose adjusted as needed. Patients will be monitored for eRVR and SVR. The study end-point is eRVR.,"1. A maximally tolerated dose of ribavirin can be defined in each patient with ESRD undergoing hemodialysis. 2. Patients with Chronic Hepatitis C Virus (HCV)and End-Stage Renal Disease (ESRD)undergoing hemodialysis will be able to tolerate and remain on treatment with peginterferon alfa-2b, the maximally tolerated dose of ribavirin and boceprevir. 3. A significant percentage of patients with chronic HCV and ESRD undergoing hemodialysis can achieve rapid virologic response (RVR), extended virologic response (eRVR) and sustained virologic response (SVR) when treated with peginterferon alfa-2b, the maximally tolerated dose of ribavirin and boceprevir."
The specific objectives are: 1. To determine the fungal species causing invasive fungal infection in different parts of the world. 2. To determine the clinical pattern of disease and document procedures performed for confirmation of the diagnosis. 3. To describe the therapeutic regimens used and their efficacy. 4. To share clinical isolates among the contributors of Fungiscope. 5. To develop molecular biology tools for identification of strains in histopathologically proven invasive fungal infection.,"The objective of this registry is to broaden the knowledge on epidemiology, diagnostic procedures and clinical course of emerging invasive fungal infections."
"After bilateral cataract surgery, monocular and binocular uncorrected (UCVA) and best distance corrected visual acuity (BCVA) will be measured at far (4m), intermediate (80 cm) and near (40 cm) distance as well as the subjective refraction. A patient questionnaire will be used to assess the patient satisfaction and spectacle independence.","The purpose of the study is to evaluate the far, intermediate and near visual acuities with a trifocal IOL."
The retinal venous pressure (RVP) is an increasingly important dimension in the clinical assessment of retinal blood flow. In literature only very few and also divergent data on the retinal venous pressure in healthy volunteers are described. A normal value study will provide us with an up-to-date database.,Determinate the standard values of the retinal venous pressure in a cohort of healthy subjects.
This study is designed to quantify the amount of hair reduction in patients treated with the miraDry System in the axilla. Hair counts will be assessed before and after treatments including at follow up visits.,The purpose of this study is to evaluate hair reduction in the underarms in patients treated with the miraDry System.
"The investigators hope to get preliminary results for the breast cancer patients who are given different neoadjuvant chemothetapy regimens. The patients are randomized two chemotherapy regimens. One is anthracyclines plus taxanes for 6-8 cycles,the other is anthracyclines plus taxanes for 3-4 cycles ,then switch tovinorelbine plus cisplatinum for 3-4 cycles.",The study purpose is to observe which neoadjuvant chemotherapy regimens is the better for invasive breast cancer. The neoadjuvant chemotherapy regimen is sustained anthracyclines plus taxanes or from anthracyclines plus taxanes to vinorelbine plus cisplatinum.
chemoport implantation was done by two investigator Chemoport type was randomly rendered. Domestic chemoport(Human port) and imported chemoport (Celsite) were used. chemoport function will be followed up.,To compare the performance of domestic chemoport and imported chemoport
"The investigators hope to learn the efficacy of 6 weeks treatment of RO4995819 versus placebo as adjunctive therapy in patients with MDD having inadequate response to ongoing antidepressant treatment based on mean change in Montgomery Asberg Depression Rating Scale (MADRS) scores from baseline to end of treatment. This knowledge is valuable because it is a new medication, which may have utility in the population of patients with major depressive disorder.","The purpose of the study is to explore the efficacy of 6 weeks treatment of an investigational medication, RO4995819, versus placebo as adjunctive therapy in patients with major depression."
"Reflux esophagitis is thought to be caused by gastric acid that refluxes into the esophagus, causing injury. Newer data suggest that reflux of gastric juice into the esophagus stimulates HIF-2a, which increases production of inflammatory cytokines. These cytokines are thought to lead to reflux esophagitis. The investigators plan to study the relationship of HIF-2a to inflammatory cytokines in patients with known gastroesophageal reflux disease and reflux esophagitis.",The purpose of this study is to determine the role of hypoxia inducible factor (HIF)-2a on the production of inflammatory cytokines that lead to reflux esophagitis.
"The primary objective of this study is to evaluate the safety and tolerance of a rush build up administration of Depigoid forte pollen and the first maintenance dose administered 4 weeks later. The treatment period consists, thus, of 4 weeks. Primary variable: cent Number of subjects [%] suffering at least one immediate or delayed systemic reaction of grade 2 or higher during the 4-weeks treatment period [grading according to the 2006 EAACI standards",The primary objective of this study is to evaluate the safety and tolerance of a rush build up administration of Depigoid forte pollen and the first maintenance dose administered 4 weeks later.
"In this phase II study, patients with solid tumors will receive treatment with intratumoral hiltonol and two cycles of autologous dendritic cells loaded with autologous tumor and administered subcutaneously. A new cohort will explore the role of radiation therapy, looking for an abscopal effect.","In this phase II study, patients with solid tumors will receive treatment with hiltonol and autologous dendritic cells."
"This randomized, double-blind, placebo-controlled, parallel-group study will included 120 children 3 episodes of wheezing during the previous year. They will receive active treatment or placebo for six months. The main outcome will be the number of wheezing attacks during one year. Other outcomes were duration and severity of wheezing attacks , symptom and medication scores, and use of health resources.","The study will be conducted in two hospitals of the same geographic area. It will be included children <3-years-old with recurrent wheezing attacks, confirmed by the review of the medical records, in the previous 12 months or a shorter time for those younger than one year."
"This is an open, non-randomized, non-controlled, multiple-dose study in 18 pediatric patients. The treatment period is three days, and during the study the subjects will rate the taste and palatability of the suspension or (for younger children) their parents will rate the childs acceptance of the suspension. The study consists of a screening period, a 3 day treatment period and a 1 week follow-up period.","The purpose of this study is to verify that pediatric patients, especially those who are not old enough to swallow capsules, accept the taste and palatability of a new suspension."
"Female volunteers will be recruited locally in a single medical center. After the occurrence of amniotic membranes rupture, amniotic fluid samples will be collected extracorporeally. Meconium concentration levels will be measured by the new test. Other laboratory tests will be employed in order to determine the accuracy of the new test.",The purpose of this study is to collect amniotic fluid samples from pregnant women. Amniotic fluid samples will be tested for meconium with a new assay. The results will be correlated with other laboratory tests.
Evaluate the performance of the Spectra Optia system red blood cell exchange (RBCx) protocols (exchange and depletion/exchange) in study participants with sickle cell disease. Open label design.,The purpose of this study is to evaluate the performance of the Spectra Optia system red blood cell exchange (RBCx) protocols (exchange and depletion/exchange) in study participants with sickle cell disease.
RTSA equals Delta Xtend reversed total shoulder prosthesis. Angular stable plate means Proximal humerus plate (Philos),To investigate the assumption that reversed shoulder prosthetic replacement will give a better functional outcome compared to open reduction and internal fixation with an angular stable plate in displaced proximal humeral fractures.
